===== Quantile Regression (tau = 0.25) =====
Formel: `log GROSS P/Y` ~ `Def(GCA)/90` + S04_Dummy + Wolfsburg_Dummy + 
Formel:     Munich_Dummy + weak_Dummy + paderborn_Dummy + Gladbach_Dummy + 
Formel:     Freiburg_Dummy + `PKcon/90` + `CK_st/90` + `TO(GCA)/90` + 
Formel:     Arminia_Dummy + Stuttgart_Dummy + `BEL-Lux_Dummy` + Bayer04_Dummy + 
Formel:     `xG+xAG/90` + TSG_Dummy + `TB/90` + `South/latinamerica_Dummy` + 
Formel:     Greuther_Dummy + Frankfurt_Dummy + British_Dummy + Düsseldorf_Dummy + 
Formel:     `PassLive(GCA)/90` + SUI_Dummy + `GCA-90_D` + Heidenheim_Dummy + 
Formel:     `G-xG/90` + Balkan_Dummy + Hertha_Dummy + NED_Dummy + Union_Dummy + 
Formel:     Skandinavia_Dummy + `Err/90` + `Def(GCA)` + Mainz_Dummy + 
Formel:     Age + `remaining contract term` + Iberia_Dummy + Afrika_Dummy + 
Formel:     Bremen_Dummy + FRA_Dummy + `TO/90` + Num_Pos + BVB_Dummy + 
Formel:     Asia_Dummy + `geTKLW%` + `Subs/90` + `GCA-90_M` + `On-Off(Teamsuc)` + 
Formel:     `Gls/90_M` + `Dis/90` + CK_st + `CPA/90` + `A-xAG/90` + `PPA/90` + 
Formel:     `Fld(GCA)` + unSub + `Tkld take ons/90` + `Def/90` + USA_Dummy + 
Formel:     `PassDead(GCA)/90` + `Sw/90` + `Mis/90` + `Offside/90` + 
Formel:     `xAG/90` + Fld + `TO(GCA)` + `carries 1/3/90` + `contract lenght` + 
Formel:     `Mit, 1/3/90` + Err + `Sh(SCA)` + `Crs/90` + `Def, 1/3/90` + 
Formel:     `aerials lost/90` + `PrgP/90` + `On-Off(Teamsuc xG)` + `Sh (Blocks)_D` + 
Formel:     `Succ_Take-ons` + `Cmpl%` + `Cmp_short%` + Sw + `Mn/Start` + 
Formel:     CrdY + `Dist (Sh)` + `Mn/Sub` + `np:G-xG` + `Cmp_long%` + 
Formel:     FK + `Att Pen(Tou)` + `Att 3rd (Tou)/90` + PK + `Tkl (Ch)` + 
Formel:     `xG+/-` + `aerials%` + `Crs (Perf)/90` + `Def, 1/3` + `Pass (Blocks)` + 
Formel:     `2CrdY` + `Tkl+Int_M` + `+/-` + `Pass (Blocks)/90` + `Sh(Blocks)` + 
Formel:     `TotDist(Car)/90` + `aerials won...338` + TI + `Cmp%_M` + 
Formel:     `Tkld%` + `Mid 3rd (Tou)` + `SoT%` + `aerials lost` + `aerials won...337` + 
Formel:     `Cmp_medium%` + `Insta Seasonstart` + `Insta after Season` + 
Formel:     Agex2
SE: bootstrap (R = 1000)
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 '' 1

Term	Estimate	Std. Error	t value	Pr(>|t|)	tau	Stars
(Intercept)	 1.083929	 1.212065	 0.89428	0.37128	0.25	
Age	 0.717481	 0.078815	 9.10331	0.00000	0.25	***
Agex2	-0.011725	 0.001438	-8.15266	0.00000	0.25	***
Munich_Dummy	 1.182324	 0.156728	 7.54378	0.00000	0.25	***
Freiburg_Dummy	-0.715765	 0.109132	-6.55872	0.00000	0.25	***
weak_Dummy	-0.688881	 0.107851	-6.38733	0.00000	0.25	***
Wolfsburg_Dummy	 0.662441	 0.107053	 6.18797	0.00000	0.25	***
BVB_Dummy	 0.852609	 0.144178	 5.91360	0.00000	0.25	***
S04_Dummy	 0.976551	 0.183244	 5.32924	0.00000	0.25	***
Stuttgart_Dummy	-0.624655	 0.117390	-5.32120	0.00000	0.25	***
`BEL-Lux_Dummy`	 0.556789	 0.116806	 4.76680	0.00000	0.25	***
Gladbach_Dummy	 0.467204	 0.099917	 4.67591	0.00000	0.25	***
unSub	-0.023456	 0.005117	-4.58369	0.00000	0.25	***
`aerials%`	 0.005351	 0.001480	 3.61547	0.00031	0.25	***
FRA_Dummy	 0.349998	 0.098076	 3.56865	0.00037	0.25	***
`South/latinamerica_Dummy`	 0.381312	 0.109519	 3.48171	0.00051	0.25	***
`remaining contract term`	 0.202180	 0.062895	 3.21456	0.00133	0.25	**
paderborn_Dummy	-0.735813	 0.230927	-3.18635	0.00146	0.25	**
Union_Dummy	-0.320491	 0.101625	-3.15367	0.00164	0.25	**
Bayer04_Dummy	 0.369856	 0.118680	 3.11640	0.00186	0.25	**
Skandinavia_Dummy	 0.265620	 0.091656	 2.89801	0.00380	0.25	**
`Cmpl%`	 0.019810	 0.007240	 2.73612	0.00627	0.25	**
Balkan_Dummy	 0.227897	 0.086135	 2.64581	0.00821	0.25	**
`xG+xAG/90`	 0.670738	 0.259607	 2.58367	0.00984	0.25	**
Arminia_Dummy	-0.378963	 0.166390	-2.27756	0.02286	0.25	*
`Fld(GCA)`	 0.081930	 0.039065	 2.09725	0.03609	0.25	*
`carries 1/3/90`	 0.094706	 0.045999	 2.05887	0.03963	0.25	*
TI	-0.001071	 0.000532	-2.01259	0.04429	0.25	*
`Mid 3rd (Tou)`	 0.000366	 0.000184	 1.99368	0.04632	0.25	*
`contract lenght`	-0.127885	 0.065563	-1.95056	0.05125	0.25	.
`Tkld%`	 0.002854	 0.001467	 1.94500	0.05191	0.25	.
`Def(GCA)/90`	-5.865478	 3.104866	-1.88912	0.05902	0.25	.
`Att Pen(Tou)`	 0.002691	 0.001565	 1.71953	0.08567	0.25	.
`Mn/Start`	-0.005826	 0.003496	-1.66639	0.09579	0.25	.
Fld	-0.023102	 0.013931	-1.65827	0.09742	0.25	.
Greuther_Dummy	-0.417438	 0.255070	-1.63656	0.10188	0.25	
`PassLive(GCA)/90`	-0.308238	 0.188380	-1.63625	0.10194	0.25	
